"Respuesta","Enviado.el.","Q01_Genero","Q02_FechaNac","Q03_Carrera","Q04_Semestre","Q05_Saber11","Q06_PercentilSaber11","Q07_FechaSaber11","Q08_PAPA","Q09_EnAreaMetropolitana","Q10_Estrato","Q11_R","Q12_RStudio","Q13_NoRoRStudio","Q14_RecursosInformaticos..Internet.de.cable.propio","Q14_RecursosInformaticos..Internet.de.cable.no.propio","Q14_RecursosInformaticos..Wifi.propio","Q14_RecursosInformaticos..Wifi.no.propio","Q14_RecursosInformaticos..Celular.sin.datos","Q14_RecursosInformaticos..Celular.con.datos","Q14_RecursosInformaticos..Portátil.propio","Q14_RecursosInformaticos..Portátil.no.propio","Q14_RecursosInformaticos..Computador.de.escritorio.propio.y.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.no.propio.pero.exclusivo","Q14_RecursosInformaticos..Computador.propio..pero.no.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.ni.propio.ni.exclusivo","Q14_RecursosInformaticos..Tablet.sin.datos","Q14_RecursosInformaticos..Tablet.con.datos.","Q15_Alunizaje","Q16_EspionajeInternet","Q17_Experimentos","Q18_Vacunas","Q19_EvidenciaFalsa","Q20_RafagasSolares","Q21_TierraHueca","Q22_alienigenas","Q23_CambioClimatico","Q24_area","Q25_PorcentArea","Q26_Divisor..f.es.divisor.de.g.2.","Q26_Divisor..f.es.divisor.de.gh.","Q26_Divisor..f.es.divisor.de.h.g","Q27_PorcentDivisor"
"2468","26/02/2021 09:43:02","1 : Masculino","1999-12-07","2 : Ingeniería de sistemas e informática",7,327,92,"2016-07-31",4.1,0,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"6 : Ninguna de las anteriores",70,1,1,0,80
"2438","26/02/2021 09:41:50","1 : Masculino","1999-12-10","2 : Ingeniería de sistemas e informática",5,378,100,"2016-08-26",4.2,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"4 : 4*pi",99,1,1,1,99
"2466","26/02/2021 09:48:00","1 : Masculino","1999-01-25","2 : Ingeniería de sistemas e informática",7,371,94,"2014-08-03",4,1,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"4 : 4*pi",80,1,1,1,80
"2483","26/02/2021 09:43:58","1 : Masculino","1998-12-31","2 : Ingeniería de sistemas e informática",4.5,325,92,"2016-07-31",3.7,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,"5 : 3*pi",60,0,1,0,50
"2440","26/02/2021 09:52:43","1 : Masculino","2000-04-15","5 : Ingeniería física",5,352,98,"2016-07-31",3.3,1,"3 : 2",1,1,"",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"4 : 4*pi",45,1,1,0,10
"2477","26/02/2021 09:50:36","2 : Femenino","1999-11-24","2 : Ingeniería de sistemas e informática",5,317,89,"2016-07-31",3.8,1,"3 : 2",0,0,"",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,"6 : Ninguna de las anteriores",15,1,0,0,30
"2452","26/02/2021 09:48:18","1 : Masculino","1999-05-08","6 : Ingeniería industrial",7,313,87,"2016-07-31",4.4,1,"4 : 3",1,1,"",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"4 : 4*pi",40,1,1,1,40
"2436","26/02/2021 09:45:18","1 : Masculino","2001-02-28","6 : Ingeniería industrial",5.6,383,100,"2017-08-18",4.6,0,"4 : 3",1,1,"",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4 : 4*pi",80,1,1,1,50
"2435","26/02/2021 09:46:19","2 : Femenino","2000-10-28","2 : Ingeniería de sistemas e informática",5,358,98,"2017-08-27",4.7,1,"3 : 2",1,1,"",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"4 : 4*pi",65,1,1,0,100
"2449","26/02/2021 09:47:31","1 : Masculino","2000-08-18","2 : Ingeniería de sistemas e informática",5.5,364,99,"2017-08-27",4.3,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"6 : Ninguna de las anteriores",30,1,1,1,70
